word,count
a,1346
about,25
above,15
across,1
after,11
again,4
against,0
all,32
almost,4
alone,2
along,3
already,8
also,63
although,14
always,8
among,1
an,135
and,585
another,25
any,29
anybody,0
anyone,0
anything,0
anywhere,0
are,187
area,8
areas,1
around,5
as,192
ask,3
asked,5
asking,4
asks,9
at,67
away,1
b,11
back,4
backed,0
backing,0
backs,1
be,186
became,1
because,29
become,1
becomes,0
been,32
before,7
began,0
behind,2
being,22
beings,0
best,5
better,15
between,24
big,3
both,28
but,49
by,171
c,28
came,0
can,93
cannot,9
case,28
cases,11
certain,9
certainly,2
clear,4
clearly,0
come,6
could,26
d,15
did,13
differ,5
different,27
differently,1
do,35
does,20
done,12
down,8
downed,0
downing,0
downs,0
during,5
e,31
each,45
early,0
either,10
end,7
ended,0
ending,0
ends,0
enough,7
even,22
evenly,0
ever,2
every,5
everybody,0
everyone,0
everything,0
everywhere,0
f,30
face,3
faces,1
fact,15
facts,0
far,5
felt,0
few,5
find,5
finds,1
first,33
for,372
four,2
from,146
full,9
fully,2
further,14
furthered,0
furthering,0
furthers,0
g,8
gave,0
general,17
generally,3
get,6
gets,5
give,8
given,15
gives,5
go,3
going,7
good,15
goods,0
got,0
great,3
greater,2
greatest,1
group,4
grouped,0
grouping,0
groups,1
h,10
had,14
has,60
have,86
having,3
he,13
her,3
here,14
herself,0
high,42
higher,7
highest,2
him,0
himself,0
his,5
how,40
however,41
i,73
if,98
important,16
in,566
interest,6
interested,1
interesting,5
interests,0
into,53
is,488
it,182
its,27
itself,3
j,15
just,2
k,11
keep,0
keeps,1
kind,9
knew,3
know,12
known,7
knows,1
l,43
large,13
largely,1
last,3
later,7
latest,2
least,11
less,13
let,7
lets,0
like,29
likely,6
long,9
longer,4
longest,2
m,13
made,21
make,20
making,5
man,11
many,16
may,34
me,6
member,0
members,0
men,4
might,6
more,60
most,44
mostly,3
mr,7
mrs,0
much,9
must,6
my,3
myself,0
n,21
necessary,13
need,24
needed,7
needing,0
needs,7
never,2
new,24
newer,0
newest,0
next,10
no,44
nobody,0
non,14
noone,0
not,136
nothing,1
now,8
nowhere,0
number,42
numbers,3
o,24
of,842
off,11
often,18
old,3
older,0
oldest,0
on,198
once,5
one,81
only,32
open,2
opened,0
opening,0
opens,0
or,100
order,16
ordered,0
ordering,1
orders,0
other,54
others,8
our,59
out,25
over,9
p,23
part,56
parted,0
parting,0
parts,28
per,7
perhaps,0
place,5
places,4
point,8
pointed,1
pointing,0
points,6
possible,31
present,9
presented,3
presenting,1
presents,2
problem,34
problems,11
put,1
puts,3
q,5
quite,12
r,21
rather,5
really,7
right,12
room,4
rooms,1
s,152
said,6
same,38
saw,2
say,13
says,0
second,16
seconds,3
see,20
seem,2
seemed,0
seeming,0
seems,3
sees,0
several,22
shall,0
she,2
should,18
show,4
showed,5
showing,0
shows,11
side,5
sides,0
since,21
small,6
smaller,1
smallest,0
so,23
some,54
somebody,0
someone,2
something,3
somewhere,1
state,5
states,2
still,18
such,47
sure,1
t,59
take,23
taken,5
than,49
that,284
the,1650
The,1650
their,30
them,28
then,55
there,56
therefore,28
these,48
they,33
thing,0
things,3
think,2
thinks,0
this,160
those,12
though,8
thought,4
thoughts,0
three,11
through,14
thus,14
to,622
today,3
together,6
too,16
took,2
toward,0
turn,5
turned,4
turning,0
turns,0
two,51
u,14
under,6
until,3
up,18
upon,5
us,8
use,40
used,64
uses,18
v,22
very,24
w,6
want,11
wanted,4
wanting,0
wants,1
was,110
way,16
ways,3
we,239
well,10
wells,0
went,0
were,41
what,33
when,41
where,31
whether,10
which,109
while,18
who,10
whole,1
whose,13
why,7
will,76
with,154
within,6
without,17
work,28
worked,0
working,1
works,4
would,30
x,22
y,18
year,0
years,1
yet,0
you,33
young,5
younger,0
youngest,0
your,3
yours,0
z,2
